序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
11,标准《水稻白叶枯病菌检疫鉴定方法》的编号是什么？,该标准的编号为20071028-T-469。,水稻白叶枯病菌检疫鉴定方法,20071028-T-469,事实型问答,GraphRAG-MCP快路径,standard_026daf5358ef08a9,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=124,机器构建后待人工复核
12,标准《水稻盛夏低温冷害等级》的编号是什么？,该标准的编号为20078519-T-416。,水稻盛夏低温冷害等级,20078519-T-416,事实型问答,GraphRAG-MCP快路径,standard_979e4d298a774bcc,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=123,机器构建后待人工复核
13,标准《水稻中转基因成分定性PCR检测方法》的编号是什么？,该标准的编号为20079809-T-326。,水稻中转基因成分定性PCR检测方法,20079809-T-326,事实型问答,GraphRAG-MCP快路径,standard_dcd5e40e38b1520b,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=121,机器构建后待人工复核
14,标准《寒地水稻节水灌溉》的编号是什么？,该标准的编号为20083012-T-326。,寒地水稻节水灌溉,20083012-T-326,事实型问答,GraphRAG-MCP快路径,standard_d94d3d351c11323b,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=115,机器构建后待人工复核
15,标准《水稻品种鉴定 SNP分子标记法》的编号是什么？,该标准的编号为20141584-T-326。,水稻品种鉴定 SNP分子标记法,20141584-T-326,事实型问答,GraphRAG-MCP快路径,standard_10c66037147d851f,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=93,机器构建后待人工复核
16,标准《水稻品种鉴定 SSR分子标记法》的编号是什么？,该标准的编号为20141585-T-326。,水稻品种鉴定 SSR分子标记法,20141585-T-326,事实型问答,GraphRAG-MCP快路径,standard_70c3a364fc396ea9,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=93,机器构建后待人工复核
17,标准《水稻插秧机 试验方法》的编号是什么？,该标准的编号为20254165-T-604。,水稻插秧机 试验方法,20254165-T-604,事实型问答,GraphRAG-MCP快路径,standard_f812d12dea052e7d,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=3,机器构建后待人工复核
18,标准《南方水稻、油菜和柑橘低温灾害等级》的编号是什么？,该标准的编号为20256161-T-416。,南方水稻、油菜和柑橘低温灾害等级,20256161-T-416,事实型问答,GraphRAG-MCP快路径,standard_d060fe95ed497fb1,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=2,机器构建后待人工复核
19,标准《丘陵山区生态循环水稻栽培技术规程》的编号是什么？,该标准的编号为DB 1308/T 262-2019。,丘陵山区生态循环水稻栽培技术规程,DB 1308/T 262-2019,事实型问答,GraphRAG-MCP快路径,standard_65f515fceb6fa420,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A140E52264503F5FE05397BE0A0AE052,机器构建后待人工复核
20,标准《水稻秸秆全量还田节水灌溉技术规程》的编号是什么？,该标准的编号为DB 2301/T 109—2022。,水稻秸秆全量还田节水灌溉技术规程,DB 2301/T 109—2022,事实型问答,GraphRAG-MCP快路径,standard_664c001e7939e71d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EBE7564F67D89848E05397BE0A0AC0E6,机器构建后待人工复核
21,标准《水稻病虫草害绿色防控技术规范》的编号是什么？,该标准的编号为DB 3307/T 73-2018。,水稻病虫草害绿色防控技术规范,DB 3307/T 73-2018,事实型问答,GraphRAG-MCP快路径,standard_fbcb4a78941b4702,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A67126FBE3954941E05397BE0A0A8F48,机器构建后待人工复核
22,标准《农作物新品种（系）品比试验技术规程 水稻》的编号是什么？,该标准的编号为DB 3705/T 37-2024。,农作物新品种（系）品比试验技术规程 水稻,DB 3705/T 37-2024,事实型问答,GraphRAG-MCP快路径,standard_2c4561416f4490bf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2A8761BA1A629AA7E06397BE0A0A9DE4,机器构建后待人工复核
23,标准《水稻机械育插秧技术规程》的编号是什么？,该标准的编号为DB 4407/T 90-2021。,水稻机械育插秧技术规程,DB 4407/T 90-2021,事实型问答,GraphRAG-MCP快路径,standard_a86b89a9a057aa5c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E7AD99D14A353287E05397BE0A0AA68A,机器构建后待人工复核
24,标准《丝苗型水稻种植技术规程》的编号是什么？,该标准的编号为DB 4416/T 28-2026。,丝苗型水稻种植技术规程,DB 4416/T 28-2026,事实型问答,GraphRAG-MCP快路径,standard_0749ad3e2138caab,https://std.samr.gov.cn/db/search/stdDBDetailed?id=299C54E3C951716EE06397BE0A0A11AF,机器构建后待人工复核
25,标准《高标准冬水田综合种养技术规程 第一部分：无人机水稻直播生产技术规程》的编号是什么？,该标准的编号为DB 5110/T 58—2023。,高标准冬水田综合种养技术规程 第一部分：无人机水稻直播生产技术规程,DB 5110/T 58—2023,事实型问答,GraphRAG-MCP快路径,standard_ced9fd2995377a84,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C5C716C11871A3AE06397BE0A0ADDA3,机器构建后待人工复核
26,标准《稻虾共作模式下水稻高产栽培技术规程》的编号是什么？,该标准的编号为DB 5110/T 63—2024。,稻虾共作模式下水稻高产栽培技术规程,DB 5110/T 63—2024,事实型问答,GraphRAG-MCP快路径,standard_7ceaa64925dc3c5a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1DCE9A69F89D6915E06397BE0A0A6381,机器构建后待人工复核
27,标准《水稻直播栽培技术规程》的编号是什么？,该标准的编号为DB 5113/T 42-2024。,水稻直播栽培技术规程,DB 5113/T 42-2024,事实型问答,GraphRAG-MCP快路径,standard_2a19b536f0bd2082,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1A213DCFBC502E68E06397BE0A0A5622,机器构建后待人工复核
28,标准《水稻病虫害绿色防控技术规程》的编号是什么？,该标准的编号为DB 5201/T 141-2024。,水稻病虫害绿色防控技术规程,DB 5201/T 141-2024,事实型问答,GraphRAG-MCP快路径,standard_2d342a35dff0c973,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1CB8BDD27B70CE77E06397BE0A0AFF2D,机器构建后待人工复核
29,标准《水稻“滇杂31”种植技术规范》的编号是什么？,该标准的编号为DB 5227/T101-2017。,水稻“滇杂31”种植技术规范,DB 5227/T101-2017,事实型问答,GraphRAG-MCP快路径,standard_a41b5b90d4681217,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D2858B3A498C7E05397BE0A0A95D8,机器构建后待人工复核
30,标准《高寒粳稻区水稻栽培技术规程》的编号是什么？,该标准的编号为DB 5307/T 23-2019。,高寒粳稻区水稻栽培技术规程,DB 5307/T 23-2019,事实型问答,GraphRAG-MCP快路径,standard_00ce0e649674aedc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998CD9170CA17BDCE05397BE0A0A3A74,机器构建后待人工复核
31,标准《高寒粳稻区水稻栽培技术规程》的编号是什么？,该标准的编号为DB 5307/T 23-2024。,高寒粳稻区水稻栽培技术规程,DB 5307/T 23-2024,事实型问答,GraphRAG-MCP快路径,standard_a5c2aa2b549dfd10,https://std.samr.gov.cn/db/search/stdDBDetailed?id=29EA2A676B633635E06397BE0A0A7BA0,机器构建后待人工复核
32,标准《水稻化肥农药减施技术规程》的编号是什么？,该标准的编号为DB 5307/T 62—2024。,水稻化肥农药减施技术规程,DB 5307/T 62—2024,事实型问答,GraphRAG-MCP快路径,standard_1da8dfe901ab78ec,https://std.samr.gov.cn/db/search/stdDBDetailed?id=29EA2A676B533635E06397BE0A0A7BA0,机器构建后待人工复核
33,标准《粳型杂交水稻“三系”原种及杂交种生产技术操作规程》的编号是什么？,该标准的编号为DB11/T 234-2004。,粳型杂交水稻“三系”原种及杂交种生产技术操作规程,DB11/T 234-2004,事实型问答,GraphRAG-MCP快路径,standard_af2a2205cc610388,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D36EE2E24E05397BE0A0A3A10,机器构建后待人工复核
34,标准《水稻抛秧技术操作规程》的编号是什么？,该标准的编号为DB12/ 096-1998。,水稻抛秧技术操作规程,DB12/ 096-1998,事实型问答,GraphRAG-MCP快路径,standard_9b4896e4f4f8aa3d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB0252E24E05397BE0A0A3A10,机器构建后待人工复核
35,标准《水稻植物生长调节剂使用技术规程》的编号是什么？,该标准的编号为DB12/T 1317-2024。,水稻植物生长调节剂使用技术规程,DB12/T 1317-2024,事实型问答,GraphRAG-MCP快路径,standard_f86c6c2f72494494,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1724014AE9026AE4E06397BE0A0AD50A,机器构建后待人工复核
36,标准《农业物联网水稻基质育秧技术规程》的编号是什么？,该标准的编号为DB12/T 1393-2024。,农业物联网水稻基质育秧技术规程,DB12/T 1393-2024,事实型问答,GraphRAG-MCP快路径,standard_c5efe2022ac7c6a2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2B19E930F006A2B4E06397BE0A0A4BDA,机器构建后待人工复核
37,标准《水稻无公害生产技术规范》的编号是什么？,该标准的编号为DB12/T 146-2003。,水稻无公害生产技术规范,DB12/T 146-2003,事实型问答,GraphRAG-MCP快路径,standard_6820824164ab21f8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D29052E24E05397BE0A0A3A10,机器构建后待人工复核
38,标准《农业用水定额 水稻》的编号是什么？,该标准的编号为DB12/T 159.01-2003。,农业用水定额 水稻,DB12/T 159.01-2003,事实型问答,GraphRAG-MCP快路径,standard_3642cf592f99b68a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA7782E24E05397BE0A0A3A10,机器构建后待人工复核
39,标准《水稻稻曲病综合防治操作规程》的编号是什么？,该标准的编号为DB12/T 192-2004。,水稻稻曲病综合防治操作规程,DB12/T 192-2004,事实型问答,GraphRAG-MCP快路径,standard_2f5f55d09bab0e01,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA67C2E24E05397BE0A0A3A10,机器构建后待人工复核
40,标准《水稻转基因成分筛查方法》的编号是什么？,该标准的编号为DB12/T 504-2014。,水稻转基因成分筛查方法,DB12/T 504-2014,事实型问答,GraphRAG-MCP快路径,standard_d2fabae2897e3444,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D353C2E24E05397BE0A0A3A10,机器构建后待人工复核
41,标准《水稻良种生产技术操作规程》的编号是什么？,该标准的编号为DB12/T 518-2014。,水稻良种生产技术操作规程,DB12/T 518-2014,事实型问答,GraphRAG-MCP快路径,standard_88326ecf11aee877,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7D032E24E05397BE0A0A3A10,机器构建后待人工复核
42,标准《水稻良种生产技术操作规程》的编号是什么？,该标准的编号为DB12/T518-2024。,水稻良种生产技术操作规程,DB12/T518-2024,事实型问答,GraphRAG-MCP快路径,standard_76957801b7c87c95,https://std.samr.gov.cn/db/search/stdDBDetailed?id=299AFBB897EE0661E06397BE0A0A89D0,机器构建后待人工复核
43,标准《水稻病虫害绿色防控技术规程》的编号是什么？,该标准的编号为DB13/T 2205-2015。,水稻病虫害绿色防控技术规程,DB13/T 2205-2015,事实型问答,GraphRAG-MCP快路径,standard_a9fd7f96f9b73ed4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D88AC2E24E05397BE0A0A3A10,机器构建后待人工复核
44,标准《水稻秸秆还田技术规程》的编号是什么？,该标准的编号为DB13/T 2985-2019。,水稻秸秆还田技术规程,DB13/T 2985-2019,事实型问答,GraphRAG-MCP快路径,standard_29a56382ed18eb26,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998CD9170D407BDCE05397BE0A0A3A74,机器构建后待人工复核
45,标准《粮食作物种传病害控制技术规程 第8部分：水稻干尖线虫病》的编号是什么？,该标准的编号为DB13/T 5371.8-2025。,粮食作物种传病害控制技术规程 第8部分：水稻干尖线虫病,DB13/T 5371.8-2025,事实型问答,GraphRAG-MCP快路径,standard_930ac142d682d291,https://std.samr.gov.cn/db/search/stdDBDetailed?id=49430CDAE414516BE06397BE0A0A47B2,机器构建后待人工复核
46,标准《水稻机插田化肥农药减施增效技术规程》的编号是什么？,该标准的编号为DB13/T 5598-2022。,水稻机插田化肥农药减施增效技术规程,DB13/T 5598-2022,事实型问答,GraphRAG-MCP快路径,standard_480056d4eafc63b3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E7F9F6EEAFCC3496E05397BE0A0AF239,机器构建后待人工复核
47,标准《滨海盐碱地水稻栽培技术规程》的编号是什么？,该标准的编号为DB13/T 5776-2023。,滨海盐碱地水稻栽培技术规程,DB13/T 5776-2023,事实型问答,GraphRAG-MCP快路径,standard_a7bd62b7b6792810,https://std.samr.gov.cn/db/search/stdDBDetailed?id=054FED4984E84E46E06397BE0A0A22BE,机器构建后待人工复核
48,标准《水稻稻飞虱监测与防治技术规程》的编号是什么？,该标准的编号为DB1302/T 187-2005。,水稻稻飞虱监测与防治技术规程,DB1302/T 187-2005,事实型问答,GraphRAG-MCP快路径,standard_a0e8cbf0184eeb4a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F456E3662D6224E06397BE0A0AD733,机器构建后待人工复核
49,标准《水稻主要种传病害防治技术规程》的编号是什么？,该标准的编号为DB1302/T 188-2005。,水稻主要种传病害防治技术规程,DB1302/T 188-2005,事实型问答,GraphRAG-MCP快路径,standard_1b1a4a991179621f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F456E3662E6224E06397BE0A0AD733,机器构建后待人工复核
50,标准《机插水稻双膜细土育秧和大棚育秧技术规程》的编号是什么？,该标准的编号为DB1302/T 335－2012。,机插水稻双膜细土育秧和大棚育秧技术规程,DB1302/T 335－2012,事实型问答,GraphRAG-MCP快路径,standard_44150a796871d71e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F456E366A46224E06397BE0A0AD733,机器构建后待人工复核
51,标准《水稻乳苗人工和乳芽机械水直播栽培技术规程》的编号是什么？,该标准的编号为DB1302/T 388－2014。,水稻乳苗人工和乳芽机械水直播栽培技术规程,DB1302/T 388－2014,事实型问答,GraphRAG-MCP快路径,standard_361726d7a586def5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F456E366FE6224E06397BE0A0AD733,机器构建后待人工复核
52,标准《水稻机械化旱直播栽培技术规程》的编号是什么？,该标准的编号为DB1302/T 389－2014。,水稻机械化旱直播栽培技术规程,DB1302/T 389－2014,事实型问答,GraphRAG-MCP快路径,standard_bee9e7cbc447531a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F456E366FF6224E06397BE0A0AD733,机器构建后待人工复核
53,标准《机插水稻大田栽培技术规程》的编号是什么？,该标准的编号为DB1302/T 431-2016。,机插水稻大田栽培技术规程,DB1302/T 431-2016,事实型问答,GraphRAG-MCP快路径,standard_e340be395d01f76f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F52D791FBD9DD0E06397BE0A0A33FD,机器构建后待人工复核
54,标准《水稻种植气象服务规范》的编号是什么？,该标准的编号为DB1302/T 517-2020。,水稻种植气象服务规范,DB1302/T 517-2020,事实型问答,GraphRAG-MCP快路径,standard_588b7862e59ba3aa,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B77E4A825EC95593E05397BE0A0AE413,机器构建后待人工复核
55,标准《水稻小龙虾综合种养技术规程》的编号是什么？,该标准的编号为DB1302/T 584-2024。,水稻小龙虾综合种养技术规程,DB1302/T 584-2024,事实型问答,GraphRAG-MCP快路径,standard_8d60b11ca79409fb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1D40B1812E3CA0FEE06397BE0A0A1EA5,机器构建后待人工复核
56,标准《水稻测土配方施肥技术规程》的编号是什么？,该标准的编号为DB1302/T270—2009。,水稻测土配方施肥技术规程,DB1302/T270—2009,事实型问答,GraphRAG-MCP快路径,standard_be22fe6ffb939fd7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=32F455ACC5ED6023E06397BE0A0A61C9,机器构建后待人工复核
57,标准《富硒水稻生产技术规程》的编号是什么？,该标准的编号为DB1307/T373-2022。,富硒水稻生产技术规程,DB1307/T373-2022,事实型问答,GraphRAG-MCP快路径,standard_065ef69cf5da62e3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=DD3351D5CBCF3784E05397BE0A0AAF52,机器构建后待人工复核
58,标准《丘陵山区水稻全程机械化生产技术规程》的编号是什么？,该标准的编号为DB1308/T 306-2022。,丘陵山区水稻全程机械化生产技术规程,DB1308/T 306-2022,事实型问答,GraphRAG-MCP快路径,standard_e81528070b6081e9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E69473C4C22777EBE05397BE0A0AF587,机器构建后待人工复核
59,标准《沙地衬膜水稻全程机械化生产技术规程》的编号是什么？,该标准的编号为DB15/T 1553-2018。,沙地衬膜水稻全程机械化生产技术规程,DB15/T 1553-2018,事实型问答,GraphRAG-MCP快路径,standard_29bc62bf80c31280,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D972C2E24E05397BE0A0A3A10,机器构建后待人工复核
60,标准《东部水稻工厂化催芽育秧移栽技术规程》的编号是什么？,该标准的编号为DB15/T 1560-2018。,东部水稻工厂化催芽育秧移栽技术规程,DB15/T 1560-2018,事实型问答,GraphRAG-MCP快路径,standard_d86bb999dd91178d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D97572E24E05397BE0A0A3A10,机器构建后待人工复核
61,标准《“兴安盟大米”原料水稻育种技术规程》的编号是什么？,该标准的编号为DB15/T 1743-2019。,“兴安盟大米”原料水稻育种技术规程,DB15/T 1743-2019,事实型问答,GraphRAG-MCP快路径,standard_5003e32657ae342e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D2DF611209B80E05397BE0A0A5F0D,机器构建后待人工复核
62,标准《“兴安盟大米”原料水稻品种选择要求》的编号是什么？,该标准的编号为DB15/T 1744-2019。,“兴安盟大米”原料水稻品种选择要求,DB15/T 1744-2019,事实型问答,GraphRAG-MCP快路径,standard_a48c50ebe9b6ec4f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D2DF611219B80E05397BE0A0A5F0D,机器构建后待人工复核
63,标准《“兴安盟大米”原料水稻生产技术规程》的编号是什么？,该标准的编号为DB15/T 1745-2019。,“兴安盟大米”原料水稻生产技术规程,DB15/T 1745-2019,事实型问答,GraphRAG-MCP快路径,standard_3335cea08863d4a3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D2DF611229B80E05397BE0A0A5F0D,机器构建后待人工复核
64,标准《“兴安盟大米”原料水稻贮存运输规程》的编号是什么？,该标准的编号为DB15/T 1746-2019。,“兴安盟大米”原料水稻贮存运输规程,DB15/T 1746-2019,事实型问答,GraphRAG-MCP快路径,standard_795e93addc237433,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D2DF611239B80E05397BE0A0A5F0D,机器构建后待人工复核
65,标准《“兴安盟大米”水稻加工企业操作规程》的编号是什么？,该标准的编号为DB15/T 1749-2019。,“兴安盟大米”水稻加工企业操作规程,DB15/T 1749-2019,事实型问答,GraphRAG-MCP快路径,standard_999e52cdb2214531,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D2DF611269B80E05397BE0A0A5F0D,机器构建后待人工复核
66,标准《水稻旱直播膜下滴灌生产技术规程》的编号是什么？,该标准的编号为DB15/T 2057—2020。,水稻旱直播膜下滴灌生产技术规程,DB15/T 2057—2020,事实型问答,GraphRAG-MCP快路径,standard_04121b99157fd45a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B8606DD85D83D6D3E05397BE0A0A0AF6,机器构建后待人工复核
67,标准《水稻旱种覆膜滴灌栽培技术规程》的编号是什么？,该标准的编号为DB15/T 2442-2021。,水稻旱种覆膜滴灌栽培技术规程,DB15/T 2442-2021,事实型问答,GraphRAG-MCP快路径,standard_e582fd8a51b889f5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B635A126058D3AE05397BE0A0AD9FD,机器构建后待人工复核
68,标准《全生物降解地膜栽培技术规范 第4部分：兴安盟水稻旱作》的编号是什么？,该标准的编号为DB15/T 2525.4—2023。,全生物降解地膜栽培技术规范 第4部分：兴安盟水稻旱作,DB15/T 2525.4—2023,事实型问答,GraphRAG-MCP快路径,standard_157852290dfd01c2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F8B5F26BAB4A3004E05397BE0A0A20E0,机器构建后待人工复核
69,标准《内蒙古东部膜下滴灌旱作水稻节水高产技术规程》的编号是什么？,该标准的编号为DB15/T 2575—2022。,内蒙古东部膜下滴灌旱作水稻节水高产技术规程,DB15/T 2575—2022,事实型问答,GraphRAG-MCP快路径,standard_aa542a2dc25f50e6,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E348B717A90F4A44E05397BE0A0AA4FA,机器构建后待人工复核
70,标准《内蒙古自治区A级绿色食品水稻生产技术操作规程》的编号是什么？,该标准的编号为DB15/T 336-2000。,内蒙古自治区A级绿色食品水稻生产技术操作规程,DB15/T 336-2000,事实型问答,GraphRAG-MCP快路径,standard_7bcaeb5ae6205136,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D60E82E24E05397BE0A0A3A10,机器构建后待人工复核
71,标准《扎赉特旗水稻质量控制技术规范》的编号是什么？,该标准的编号为DB15/T 3406—2024。,扎赉特旗水稻质量控制技术规范,DB15/T 3406—2024,事实型问答,GraphRAG-MCP快路径,standard_e1dc84bbc2fb460c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=17223F8867EEEEF0E06397BE0A0AC065,机器构建后待人工复核
72,标准《水稻抛秧450-600kg/667m2栽培技术规程》的编号是什么？,该标准的编号为DB15/T 382-2002。,水稻抛秧450-600kg/667m2栽培技术规程,DB15/T 382-2002,事实型问答,GraphRAG-MCP快路径,standard_6558321299444c6e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D38552E24E05397BE0A0A3A10,机器构建后待人工复核
73,标准《高寒地区水稻高产栽培技术规程》的编号是什么？,该标准的编号为DB15/T 396-2004。,高寒地区水稻高产栽培技术规程,DB15/T 396-2004,事实型问答,GraphRAG-MCP快路径,standard_d6bdfa06d0a0e92c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8F612E24E05397BE0A0A3A10,机器构建后待人工复核
74,标准《高寒地区水稻节水灌溉技术规程》的编号是什么？,该标准的编号为DB15/T 397-2004。,高寒地区水稻节水灌溉技术规程,DB15/T 397-2004,事实型问答,GraphRAG-MCP快路径,standard_be58f10274085a6d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D76C52E24E05397BE0A0A3A10,机器构建后待人工复核
75,标准《沿黄灌区盐碱地水稻轻简高效育秧技术规程》的编号是什么？,该标准的编号为DB15/T 4075-2025。,沿黄灌区盐碱地水稻轻简高效育秧技术规程,DB15/T 4075-2025,事实型问答,GraphRAG-MCP快路径,standard_6141569b87994ac9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=39548B9E3AB867BBE06397BE0A0A3C7B,机器构建后待人工复核
76,标准《内蒙古东部地区盐碱地水稻栽培技术规程》的编号是什么？,该标准的编号为DB15/T 4350-2026。,内蒙古东部地区盐碱地水稻栽培技术规程,DB15/T 4350-2026,事实型问答,GraphRAG-MCP快路径,standard_a9670d12d9b4013f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=4FEE50024A42260AE06397BE0A0AB05A,机器构建后待人工复核
77,标准《鄂尔多斯市沿黄盐碱地水稻种植技术规程》的编号是什么？,该标准的编号为DB1506/T 40-2023。,鄂尔多斯市沿黄盐碱地水稻种植技术规程,DB1506/T 40-2023,事实型问答,GraphRAG-MCP快路径,standard_661927d1931e1244,https://std.samr.gov.cn/db/search/stdDBDetailed?id=071910506E53617BE06397BE0A0A9002,机器构建后待人工复核
